Time,AES ID,DP AES Owner,Channel Name,Ocean Region,GES ID (octal),Channel Bearer,Channel Unit ID,Channel Type,Superframe Number,Frame Number,Slot Number,SU Number,SU Type,SU Type Code,SU Contents,Q Number,Reference Number,Ack Control,SDM Figure,CRC Correct,Missed T-Channel Burst,Broadcast,Rx Power (dBm),C/No,Frequency Offset (Hz),Estimated BER,Burst Timing Offset (microseconds)
7/03/2014 16:29:50.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
7/03/2014 16:29:50.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
7/03/2014 16:29:52.406,35200217,SITADP (3047),IOR-R1200-0-36ED,IOR,305,,4,R-Channel RX,,,,,0x62 - Acknowledge User Data (R-channel),,,,,,,,,,,,89,,14920
7/03/2014 16:41:52.907,35200217,SITADP (3047),IOR-R1200-0-36ED,IOR,305,,4,R-Channel RX,,,,,0x22 - Access Request (R/T-Channel),,,,,,,,,,,,141,,14940
7/03/2014 16:41:53.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x51 - T-Channel Assignment,,,,,,,,,,,,,,
7/03/2014 16:41:57.248,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,0x71 - User Data (ISU) - RLS,,,,,,,,,,,,142,,9920
7/03/2014 16:41:57.409,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,142,,9920
7/03/2014 16:41:57.569,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,140,,9920
7/03/2014 16:41:57.728,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,0x22 - Access Request (R/T-Channel),,,,,,,,,,,,140,,9920
7/03/2014 16:41:57.905,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,140,,9920
7/03/2014 16:41:58.048,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,140,,9920
7/03/2014 16:41:58.208,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,140,,9920
7/03/2014 16:41:58.399,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,140,,9920
7/03/2014 16:41:58.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x51 - T-Channel Assignment,,,,,,,,,,,,,,
7/03/2014 16:41:58.528,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,141,,9920
7/03/2014 16:41:58.697,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,141,,9920
7/03/2014 16:41:58.729,35200217,SITADP (3047),IOR-T1200-0-36FA,IOR,305,,10,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,141,,9920
7/03/2014 16:41:59.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x62 - Acknowledge User Data,,,,,,,,,,,,,,
7/03/2014 16:42:00.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x71 - User Data (ISU) - RLS,,,,,,,,,,,,,,
7/03/2014 16:42:00.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
7/03/2014 16:42:00.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
7/03/2014 16:42:00.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,,,
7/03/2014 16:42:02.068,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,0x71 - User Data (ISU) - RLS,,,,,,,,,,,,147,,9980
7/03/2014 16:42:02.229,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,147,,9980
7/03/2014 16:42:02.388,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,147,,9980
7/03/2014 16:42:02.553,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,147,,9980
7/03/2014 16:42:02.708,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9980
7/03/2014 16:42:02.868,35200217,SITADP (3047),IOR-T1200-0-36D7,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,148,,9980
